# FHMM order comparison (C=2, K=4, T=20)
# order,max_frontier,mean_frontier,sum_frontier,log_cost_proxy,min_time_sec,logp
interleaved,2,1.970,197,7.361e+00,4.105792e-03,-32.517423501802
states_then_y,40,20.200,2020,5.646e+01,NA,NA
# FHMM order comparison (C=2, K=4, T=40)
# order,max_frontier,mean_frontier,sum_frontier,log_cost_proxy,min_time_sec,logp
interleaved,2,1.985,397,8.062e+00,1.012017e-02,-58.665977213007
states_then_y,80,40.200,8040,1.119e+02,NA,NA
# FHMM order comparison (C=2, K=4, T=80)
# order,max_frontier,mean_frontier,sum_frontier,log_cost_proxy,min_time_sec,logp
interleaved,2,1.992,797,8.760e+00,2.624392e-02,-121.075969900975
states_then_y,160,80.200,32080,2.228e+02,NA,NA
# FHMM order comparison (C=2, K=4, T=100)
# order,max_frontier,mean_frontier,sum_frontier,log_cost_proxy,min_time_sec,logp
interleaved,2,1.994,997,8.984e+00,3.694283e-02,-159.084764499352
states_then_y,200,100.200,50100,2.783e+02,NA,NA
