# seed,K,T,trials,min_time_sec,logp,max_frontier,mean_frontier,sum_frontier,time_over_TK2
1,8,50,15,4.031500e-03,-68.367716912908,1,0.990,99,1.259843750e-06
1,8,100,15,1.053150e-02,-134.566394931630,1,0.995,199,1.645546875e-06
1,8,200,15,3.109333e-02,-268.884504181967,1,0.998,399,2.429166406e-06
1,8,400,15,1.032710e-01,-507.899254715377,1,0.999,799,4.034023438e-06
1,8,800,15,3.868640e-01,-1014.031647189991,1,0.999,1599,7.555937500e-06
1,16,50,15,1.096975e-02,-68.640930263672,1,0.990,99,8.570117187e-07
1,16,100,15,2.583529e-02,-132.615884733434,1,0.995,199,1.009191016e-06
1,16,200,15,6.208867e-02,-264.898444018715,1,0.998,399,1.212669336e-06
1,16,400,15,1.653278e-01,-496.082331882703,1,0.999,799,1.614529297e-06
1,16,800,15,5.194480e-01,-994.008267544666,1,0.999,1599,2.536367188e-06
1,32,50,15,3.842762e-02,-67.917939032965,1,0.990,99,7.505394531e-07
1,32,100,15,8.173317e-02,-131.957904902438,1,0.995,199,7.981754883e-07
1,32,200,15,1.783575e-01,-262.204812107237,1,0.998,399,8.708862305e-07
1,32,400,15,4.249979e-01,-490.584185596219,1,0.999,799,1.037592529e-06
1,32,800,15,1.098389e+00,-983.156598392055,1,0.999,1599,1.340806885e-06
1,64,50,15,1.534776e-01,-67.624721238144,1,0.990,99,7.494023437e-07
1,64,100,15,3.294130e-01,-130.774108588117,1,0.995,199,8.042309570e-07
1,64,200,15,7.271693e-01,-260.703706812903,1,0.998,399,8.876578369e-07
1,64,400,15,1.479587e+00,-487.252773745216,1,0.999,799,9.030682373e-07
1,64,800,15,3.091532e+00,-976.386085472905,1,0.999,1599,9.434606934e-07
1,128,400,7,5.139888e+00,-486.028432550373,1,0.999,799,7.842846680e-07
1,256,400,5,2.197801e+01,-485.204322418205,1,0.999,799,8.383945465e-07
1,512,400,3,8.809223e+01,-484.840290757095,1,0.999,799,8.401129723e-07
